"2022-01-30 22:00:47 [restartedMain] INFO  c.e.n.N11TalenthubBootcampGraduationProjectOyaErApplication - Starting N11TalenthubBootcampGraduationProjectOyaErApplication using Java 11.0.12 on DESKTOP-DSFH67A with PID 11572 (C:\DEV\n11Bootcamp\n11-talenthub-bootcamp-graduation-project-OyaEr\target\classes started by oyaer in C:\DEV\n11Bootcamp\n11-talenthub-bootcamp-graduation-project-OyaEr)
""2022-01-30 22:00:47 [restartedMain] DEBUG c.e.n.N11TalenthubBootcampGraduationProjectOyaErApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
""2022-01-30 22:00:47 [restartedMain] INFO  c.e.n.N11TalenthubBootcampGraduationProjectOyaErApplication - No active profile set, falling back to default profiles: default
""2022-01-30 22:00:49 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2022-01-30 22:00:49 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
""2022-01-30 22:00:49 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2022-01-30 22:00:49 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
""2022-01-30 22:00:49 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.4.Final
""2022-01-30 22:00:50 [restartedMain] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
""2022-01-30 22:00:50 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
""2022-01-30 22:00:50 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
""2022-01-30 22:00:50 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
""2022-01-30 22:00:51 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
""2022-01-30 22:00:53 [restartedMain] INFO  c.e.n.N11TalenthubBootcampGraduationProjectOyaErApplication - Started N11TalenthubBootcampGraduationProjectOyaErApplication in 7.534 seconds (JVM running for 10.893)
""2022-01-30 22:01:09 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2022-01-30 22:01:12 [http-nio-8080-exec-3] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 392 ms
""2022-01-30 22:02:23 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
""2022-01-30 22:02:23 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
""2022-01-30 22:02:32 [restartedMain] INFO  c.e.n.N11TalenthubBootcampGraduationProjectOyaErApplication - Starting N11TalenthubBootcampGraduationProjectOyaErApplication using Java 11.0.12 on DESKTOP-DSFH67A with PID 11356 (C:\DEV\n11Bootcamp\n11-talenthub-bootcamp-graduation-project-OyaEr\target\classes started by oyaer in C:\DEV\n11Bootcamp\n11-talenthub-bootcamp-graduation-project-OyaEr)
""2022-01-30 22:02:32 [restartedMain] DEBUG c.e.n.N11TalenthubBootcampGraduationProjectOyaErApplication - Running with Spring Boot v2.6.3, Spring v5.3.15
""2022-01-30 22:02:32 [restartedMain] INFO  c.e.n.N11TalenthubBootcampGraduationProjectOyaErApplication - No active profile set, falling back to default profiles: default
""2022-01-30 22:02:34 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2022-01-30 22:02:34 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
""2022-01-30 22:02:34 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2022-01-30 22:02:35 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
""2022-01-30 22:02:35 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.4.Final
""2022-01-30 22:02:35 [restartedMain] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
""2022-01-30 22:02:35 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
""2022-01-30 22:02:35 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
""2022-01-30 22:02:35 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
""2022-01-30 22:02:37 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
""2022-01-30 22:02:39 [restartedMain] INFO  c.e.n.N11TalenthubBootcampGraduationProjectOyaErApplication - Started N11TalenthubBootcampGraduationProjectOyaErApplication in 8.171 seconds (JVM running for 11.381)
"
